Name,Content Rules,Default State,Description,Dynamic Behavior,Error State,Number,Object,Type
Multi-line text input field,"Form labels are typically nouns.

For form labels that require action, start with a verb e.g Select card type.

Form labels should always make it clear which field they should fill in.

Label input fields with short, 1-2 word nouns e.g name, date, area code etc.

Label text should not exceed the width of the input field.

Labels may be truncated but editing for length is preferred.

Avoid overly long labels.

Don’t wrap label text.

Labels don’t need punctuation like periods or colons.

The error message temporarily replaces the field label, so the message must provide instruction on how to fix the error AND include the name of the field to make it clear which field is affected.

State the issue clearly and in a way that does not assign blame.

Provide a remedy when possible.

Provide only the information the user needs to know at this moment.","The text box is in unselected state, with a form label and helper text on top of the box.","Allows user to enter or edit multi-line string of text for longer, responses. For things like label descriptions, bulk values etc.","By default, all the text input fields are required. When a text input field is optional, show “(optional)” in placeholder.",On not adding any value and pressing the CTA results in error message. The label and helper text changes to error message and the text input box’s border changes to red color.,10,ML.0 Multi-object list picker,
"Surface content space ",,,It shows read-only content so the viewer and find and browse relevant content.,,,2,S.0 View Surface,
Multi-object list picker,,,"Search keyword: ML.0 for multi object picker list ",https://www.notion.so/b34d06414bec4cb6b9bf83a9b3225b6b?pvs=21,,3,RL.3.3,
Search bar,N/A,The search field would be empty,The search field allows the user to search for specific objects in all the objects in the object list.,"Entering a search query will refresh the object list with objects that match the search query term. 

The object list will refresh dynamically as the user enters their search query.

The search behavior is based on the current data set (filtering, sorting rule).","If there are no object results for a search query, the object list should show an empty state graphic.",1,OL.0 Object List,Widget
Number field,,1,Text field that will always be a positive none 0 integer (natural number). The field should automatically validate itself,If the shortcut selected is anything apart from last quarter or last year this field will not be present.,This field will need to be validated for any non natural number and will automatically switch to nearest natural number and closest to any decimal entered or should prevent users from entering any decimal or negative values,2,RDF.0 Date and time picker,
Filter chip,N/A,N/A,"Once a user has selected a filter option it is displayed here, with a delete button. ","If the user selects multiple values to filter by, then all the values are listed next to the column name in the chip

Display filter chips in multi-lines when it’s more than one line. Keep 32px space between global button if there is. ../Widgets/Object%20Table%20309374cae3fa8113b439c8bb096e0478.md

The values in the filter chips would be in alphabetical order. If users add a new value, it will added in alphabetical order as well.

Clicking on the filter chip, pop up the dialog box to edit.","If there are no object results for multi-filters, the object list should show an empty state graphic.",5,OL.2,
Object row cell,N/A,"By default the cell is in an unselected mode. 
Click once on the cell will select the cell and will allow the user to directly edit the cell or select from the cell pulldown menu. ",A single cell from the editable object table,"Clicking on the cell will give the users two options. Either to enter in content directly or they can select from a predefined selection pulldown list.
If the cell activates a pull down cell menu, the menu will appear below the cell by default (if there is enough space). ",N/A,1,"OL.4 Editable Object table ",
Rolling condition field,,Last,Dropdown with multiple conditions that specify rolling window periods,"Can have any of the below values
1.Yesterday
2.Today
3.Tomorrow
4.This
5.Last
6.Next
7.Before
8.After
9.Before the last
10.After the next
11.Week to date
12.Month to date
13Quarter to date
14.Year to date",NA - It will always have a value,1,RDF.0 Date and time picker,
"Cancel button ",,,"The cancel button will close the modal and cancel the delete action. ",,,3,DL.0 Delete core pattern,
Date fields,,dd/mm/yyyy Will be the default placeholder for this field. When user selects a date it will be shown in this field with the cross icon. If they click the cross icon then the field is reset to its default value,"Calendar field, where user can select a date.",When user clicks on this field the calendar selection menu would appear which would have the current date selected by default.,The field needs to be auto validated for any entry apart from valid dates like how it is done today,2,DP.0 Date picker,
Keyborad,,-,Pressing Esc key (equal to cancel) can close the dialog box without submitting any data.,-,,8,MO.1 Simple dialog,Surface Modal
Truncated string,,,,Truncated string (with 1 second delay on hover),,2,TL.0 Tool tips,
,,,,,,5,MU.0 Mute Alerts large,
Header bar,The title should be brief and clearly describe the dialogs’s task or purpose.,-,The header describes the dialogs’s task or purpose.,-,,1,MO.1 Simple dialog,Surface Modal
,,,,,,1,BN.0 Alert Banner,
Select all and Clear link,N/A,The all and clear link will be activated and blue in color.,It has options to select all objects and clear all selected objects in from the list.,"On clicking the ‘Select all’ link, all the single object checkboxes next to object items will be selected. 
Header will read: column header (total number of objects)

On clicking the ‘clear’ link, all the single object checkboxes next to object items will deselect. 
Header will read: column name (0)

Select all and clear will select all/clear all the objects visible in the list at the given instance.
eg: If in search mode, only 4 options are shown, the select all will select all 4 options only.
",N/A,8,ML.0 Multi-object list picker,
Shortcut keywords,,Last Quarter (selected) in blue,Selectable chips that are predefined time period configurations.,"Can have any of the below values
1.Last quarter
2.Last year
3.Week to Date
4.Month to Date
5.Quarter to date
6.Year to date
As the user changes the selection of these chips the fields above them get changed. For last year and last quarter, it will have 3 fields as show. For W/M/Q/Y to Date the fields above will have the start date and end date set as per the shortcut selected that the user can change. If the user chooses a different date then the chip selection goes away.
Example:","If user chooses a different date that does not correspond to the shortcut time period selected then it gets unselected
The dates themselves need to be validated and field level error is shown as below",4,RDF.0 Date and time picker,
CTA bar,N/A,N/A,"There are three buttons in the Wizard CTA bar: Previous, Cancel, Continue.","In the first step, the CTA bar includes Cancel and Continue buttons.

In the middle steps, the CTA bar includes the Previous, Cancel, and Continue buttons.

In the last step, the CTA bar includes Previous, Cancel and complete task buttons.",N/A,5,RL.3.3,
,,,,,,6,TO. Toasts,
Primary CTA button,-,-,Clicking the primary action will guide users to the next step to complete multiple tasks.,"The primary CTA would be Continue guiding users to the next step.
In the last step of the sequence, the Continue button label should change to reflect the final action.
The primary CTA should NEVER be disabled.",-,8,MO.3 Wizard dialog,Surface Modal
Cancel/Back button,,-,Clicking the Cancel/Back button will close the current modal and return the user to its previous context. Cancel/Back undoes all applied changes.,"In the main task dialog box, the CTA is “Cancel”
In the sub-task dialog box, the CTA is “Back”. Clicking the button, go back to the main task dialog box without submitting any data. 
When all the info are submited instantly or just check the info, the primary CTA is “Done”, and there is no need for secondary CTA.",-,5,MO.2 Sub-task dialog,Surface Modal
,,,,,,6,MU.0 Mute Alerts large,
Selection,TBD,Nothing is selected,It’s the item that has been selected.,"Clicking anywhere in its row can select this object.
Once something is selected, highlight the row with light blue color and a checkmark. 
There must be one object being selected. Clicking on the selected object won’t delect this object.",TBD,6,SOL.0 Single object list picker,
Reset link,,N/A,"The tertiary icon , Reset link will reset the conditions configured in all segments to its default value",Whatever the segment the user is currently in when they click on the reset link it will reset the condition in that segment to its default value,N/A,3,DP.0 Date picker,
Done button,Should be “Done”,-,Close the modal dialog.,-,-,4,MO.5 Information dialog,Surface Modal
Special labeling or explain text,,,,"Special labeling or explain text, maximum 3 lines at 340px wide",,3,TL.0 Tool tips,
Profile Icon,,,"Click on this will reveal the profile menu. This will display the a sign out and profile link. ",,,5,GL.0,
,,,,,,,,
Object Search ,,The default state is to just show an icon of the object search,The default state is to just show an icon of the object search,"Clicking on the icons will open the object search field. The user can then enter a text string into the field and press return or click the the icons to the far right of the field to iniate an object search.
Initiating a search will refresh the page and show the object search results page.",If the user does not enter a string in object search field then the page and show the object search results page with a zero results view.,2,GL.0,
Illustration,"Make complex ideas more accessible.

Should be a spot hero image that relates to the UI copy.

Can efficiently convey brand personality.

Guide people in the right direction or let them know what to expect.",-,Should relate to the content or benefit literally or metaphorically.,-,-,1,MO.4 Splash screen dialog,Surface Modal
,,,,,,4,TO. Toasts,
Single object checkbox name,Maximum number of object items visible by default: 7,"By default, the check box will be unselected.",This check box allows the user to select an object next to it.,"Clicking the check box selects the object, clicking again will unselect the object. Multiple single object checkboxes can be selected/unselected at the same time.

All the check box can also be selected/unselected if the user clicks the select all/ clear link at the top right of the object list respectively.",N/A,3,ML.0 Multi-object list picker,Widget
Progress bar,-,"The background is always Grey20. 

The stepper has two states. First stepper will always be Blue60 and the rest will be Grey30.","Shows which step the current task is on.

The progress bar determine the percentage of the completed task.

It contains a background and stepper bars. There will always be more than one stepper bars. ","On moving to the next step, the stepper in the progress bar changes from  Grey30 to Blue60.

The height of the progress bar is 4 px

Based on the number of steps in wizard , the progress bar will have steppers. The space between the steppers is 4 px.",-,4,MO.3 Wizard dialog,Surface Modal
Header,The title should be brief and clearly describe the dialogs’s task or purpose.,-,The header describes the dialogs’s task or purpose.,-,-,1,MO.5 Information dialog,Surface Modal
,,,,,,1,MU.0 Mute Alerts large,
Reconfirmation field,,The field will be empty,"In some cases the object or configuration that is being deleted will have dependencies. This may require a reconfirmation field. The user will have to reenter their account password to delete an object or configuration. ","This is required field when used and the user will not be able to delete the object or configuration without entering their password. ","If the users enters an incorrect password for their account an error message will be displayed in the header of the field. ",5,DL.0 Delete core pattern,
Primary Object Name column link,N/A,N/A,The object name column is the primary column in an about table. It has a specific width and can display up to two lines of text.,Clicking on the object name link will refresh the page and display the object page.,N/A,6,OL.0 Object List,Widget
"Secondary Rolling 
condition field",,Last,Dropdown with multiple conditions that specify rolling window periods,"Can have any of the below values
1.This
2.Last
3.Next",NA - It will always have a value,6,RDF.0 Date and time picker,
Object header,Maximum words allowed: 3,"By default, the object header will display the column name along with the number of objects selected in parentheses.
","Contains the column name, the number of objects selected from the list picker.

","At any time the header copy will remain the same, i.e. the column name, the number within the parenthesis will display  the number of objects selected at the given instance.",N/A,2,ML.0 Multi-object list picker,Widget
Content area,,-,Contains the information and/or controls needed to complete the modal’s task. It can include message text and components.,"When the content exceed the maximum allowed vertical space, the scrollbar appears and is limited the content area only.",We should wait to validate any and all inputs when the CTA is clicked and not before.,2,MO.2 Sub-task dialog,Surface Modal
,,,,,,,,
Object row,N/A,Nothing is selected,The object row display,"Clicking anywhere in its row can select this object, or go to the next level when it has.
The object list icon is optional
Truncate text when it's longer than 1 linewith ""..."". Hover over on the truncated text display tooltip for full text.",N/A,3,SOL.0 Single object list picker,
Show selected toggle,N/A,Turn off toggle. Show all items.,"Switch state between:
(1) Displaying all items and 
(2) Displaying selected items at top with unselected items below separated by divider.","Toggle off: Show all items
Toggle on: Show selected items at top followed by divider then unselected items.

In add value mode when the inline input appears, the show toggle is hidden by the inline input.

Reference: https://www.notion.so/b34d06414bec4cb6b9bf83a9b3225b6b?pvs=21","If no objects are selected then the toggle should be disabled

If user unselects all the object, while the toggle is on. Then since there are no objects selected, the toggle will change automatically  to off.",4,ML.0 Multi-object list picker,Widget
Progress bar,N/A,The bar will be shown in step 1 phase.,This is used in wizard modal to show how much progress has been made in a particular process.,"Increases in length with completion of every step in proportion to the number of step.

eg: If a wizard is of 3 steps then the bar will be divided in 3 equal parts. Each part will highlighted with blue color when the step is completed.",N/A,4,RL.3.3,
Day selection Cluster,N/A,By default “Monday” is selected.,This dropdown allows the user to select a specific day when the frequency should be triggered.,"This cluster only appears when the user has selected the “week” option from the primary frequency dropdown (2)Multiple days can be selected
Values : Single or multiple selection from
M, T, W, Th, F, Sa, Su",N/A,4,FP.0 Frequency picker,
Task title,The title should be brief and clearly describe the dialogs’s task or purpose.,-,The header describes the dialogs’s task or purpose.,-,-,1,MO.3 Wizard dialog,Surface Modal
CTA bar,,-,"Contains the main actions needed to complete or cancel the dialog task. Action buttons, such as Save, Close, Delete, are on the right. Place the primary button—the one that guides the user toward the default action on the far right.",-,,3,MO.1 Simple dialog,Surface Modal
,,,,,,4,MU.0 Mute Alerts large,
Multi object picker list with selected options,,,Specs for https://www.notion.so/309374cae3fa81868cc0cb7295bd910d?pvs=21,,,2,OL.3 Object List Sort & Filter modals,Widget
,,,,,,2,TO. Toasts,
Primary CTA button,,-,Clicking the primary action will complete the task.,"In the main task dialog box, the CTA is the action for main task. Click the button complete the task and close the dialog box.
In the sub-task dialog box, the CTA is the action for sub-task. Click the button complete the task and go back to the main task dialog box.
The primary CTA should NEVER be disabled.",-,6,MO.2 Sub-task dialog,Surface Modal
Add values in bulk link,N/A,"The add values in bulk link will be activated and blue in color.

",The add link lets users add multiple new value to the list. It does this by opening a new sub task modal with multi-line text input field.,"On clicking the add values in bulk link, opens a new sub task modal with a multi-line text input widget.

Add value:
User can add a value(s) and select and apply it, these value(s) will be in the list. 

Remove value:
When the user visits the next time and they deselect these value(s), then this custom value(s) won't be there.",N/A,9,ML.0 Multi-object list picker,
Secondary button,-,-,"In case the primary CTA is “Try it”, a secondary CTA “Not now” shall be present. This will close the modal and not participate in the next flow.",-,-,7,MO.4 Splash screen dialog,
Back,N/A,Nothing is selected,The button lets user go back to previous state.,Clicking the button will take user to the previous state which is where the user was after clicking the chevron.,N/A,7,SOL.0 Single object list picker,
Object row cell pull down,N/A,Object Row cell pulldown default state is to have a single item selected,"Pulldown cell menu. ",Clicking on the object row cell pulldown will allows the user to select from a pre defined option or they can click on any other cell to dismiss the pulldown,N/A,2,OL.4 Editable Object table,
Header bar,The title should be brief and clearly describe the dialogs’s task or purpose.,-,The header describes the dialogs’s task or purpose.,"For main task dialog box, display main task title. For sub-task dialog box, display sub-task title.",-,1,MO.2 Sub-task dialog,Surface Modal
Nine dot menu,,,,"Clicking on the icons will show the menu for the nine dot menu. This will show between 1 and 4 main navigation options as well as a See all answer, liveboards and Search data links.
",,3,GL.0,
Action column link & LIMS,N/A,N/A,"The action column allows the user to apply actions to a specific row in the object list. The actions are always right aligned.

Actions include but not limited to: Favourite, Share, Edit, Duplicate, Export, Delete etc.","IF there are one or two actions then that will be represented as a blue link/s.

IF there are three or more actions then all the action links are placed in the elipse menu that is a drop down style menu, which gets activated once the user clicks over the menu icon.",N/A,8,OL.0 Object List,Widget
Input field,,,Search keyword: IF.0 for specification on input field,Input field specification,,1,RL.3.3,
,,,,,,3,MU.0 Mute Alerts large,
Month field,,Current month,"Dropdown with months, where user can select a month.","Can have any of the below values
January
February
March
April
May
June
July
August
September
October
November
December",NA - It will always have a value,4,DP.0 Date picker,
Column sort/filter headers,N/A,The default state is determined by the needs of the project.,"Column sort headers allow users to reorder an object list.

These are accessed by clicking on the column header.

The headers also has a grey 20 hover state. On hover the cursor changes to a hand to denote click-ability.

https://www.loom.com/share/15ebd8bdb3084863961121ca8f337fd8?sid=aa057ef6-e22d-4bc7-b386-9ba430421402 for hover state.","Clicking on the column header will open the menu, users can choose to filter or sort.

Clicking on the Filter will open the filter modal dialog box.

Clicking on the Sort will resort to the object list according to the column type. I.e chronologically, alphabetically, low to high. 

Once clicked the Sort ascending or Sort descending will display an up or down arrow to denote both that this is the column that the object list is sorted by and also the direction of the sort order.

../Widgets/Object%20Table%20309374cae3fa8113b439c8bb096e0478.md",N/A,4,OL.0 Object List,Widget
Description,"Try to keep message length to less than three lines at the product's minimum supported size.

Don't just point out what the feature or functionality is. Tell people why it's important at this point in time.

Be considerate of people's time and patience. Be short and to the point, and avoid using company jargon.",-,Describe the new feature/updates.,-,-,3,MO.4 Splash screen dialog,Surface Modal
Icon,,,,Button action callout in verb (with 1 second delay on hover),,1,TL.0 Tool tips,
Month selection: Dropdown Input2A,N/A,By default “First” + “Monday” is selected.,"This input allows the user to set monthly frequency in context of days of the week, If the user has selected the “month” input from the primary frequency dropdown (2)","This input only appears when the user has selected “On the” option from the Month selection: Dropdown Input1 (5)
Values : 
Dropdown 1: “First”, “Second”, “Third”, “Fourth”, “Last”
Dropdown 2: “Monday”, “Tuesday”, “Wednesday”, “Thursday”, “Friday”, “Saturday”, “Sunday”, “Day”",N/A,6,FP.0 Frequency picker,
"Delete CTA button ",,,"The delete CTA will execute the delete action ",,,2,DL.0 Delete core pattern,
,,,,,,3,SEC.0 Section alerts,
Month selection: Text Input2B,N/A,"This input will be empty by default, this is a required field.","This input allows the user to set monthly frequency in context of dates of the month, IF the user has selected the “month” input from the primary frequency dropdown (2)","This input only appears when the user has selected “By date” option from the Month selection: Dropdown Input1 (5)
Values : Numbers between 1 to 31, separated by commas",The enter dates field requires at least one entry to validate this widget.,7,FP.0 Frequency picker,
Text input field,Empty field,"Input field is empty, unless data is filled then show data.",Text input field to let user enter or edit a string of text.,"By default, all the text input fields are required. When a text input field is optional, show “(optional)” in placeholder.",The field outline turn to red color,2,IF.0 Input field,
Reset link,,N/A,"The tertiary icon , Reset link will reset the conditions configured in all segments to its default value",Whatever the segment the user is currently in when they click on the reset link it will reset the condition in that segment to its default value,N/A,5,RDF.0 Date and time picker,
Cancel button,,-,Clicking the Cancel button will close the modal and return the user to its previous context. Cancel undoes all applied changes.,-,,5,MO.1 Simple dialog,Surface Modal
,,,,,,2,MU.0 Mute Alerts large,
,,,,,,2,BN.0 Alert Banner,
Search field,N/A,The search field would be empty,"The search field allows the user to search for specific objects in the object list.

Note: Search bar will be present in case of more than 20 options. Else it will not be present.

https://www.notion.so/309374cae3fa812895d1deffcef72709?pvs=21
","Entering a search query will refresh the object list with objects that match the search query term. 
The object list will refresh dynamically as the user enters their search query.
Highlight the search term in the results.","If there are no object results for a search query, the object list should show an empty state graphic.",1,SOL.0 Single object list picker,
Search field,N/A,The search field would be empty.,The search field allows the user to search for specific objects in the currently viewed object list.,"Entering a search query will refresh the object list with objects that match the search query term.
 
The objects list will refresh dynamically as the user enters their search query. 

Highlight the search term in the results with respect to search query.

In nested state, the items in the child list will be highlighted in search.

User can select or deselect objects while they are in search mode. 

Select all and clear will select all/clear all the objects visible in the list at the given instance.

Clicking the cross button will close the search.","If there are no object results for a search query, the list should show an empty state graphic.",1,ML.0 Multi-object list picker,Widget
,,,,,,5,SEC.0 Section alerts,
Filter option,N/A,Unselected,The user can select the filter option.,this will launch ../Widgets/Object%20Table%20309374cae3fa8113b439c8bb096e0478.md,N/A,4,OL.2 Object List Sort & Filter,Widget
Object row,"Truncate header text when it's longer than 2 lines with ""..."". Hover over on the truncated text display tooltip for full text. 

Truncate description text when it's longer than 1 line with ""...More"". Click on ""...More"", and expand the whole row to display the full content (Full header, description, tags.) To get back to the default state the user would need to refresh the browser window.",Unselected,The Object Table supports two distinct modes for editing the objects represented in the list. One of the modes allows the user to act on a single object while the second allows them to operate on two of more objects at a time.,"A single object is selected in one of two ways: (1) clicking on its associated checkbox, or (2) clicking anywhere in its row outside of the target area of the links associated with the object’s name, author, or tags. 

The default line height is 72px. When there are 3 lines, change to 80px.

Selected state: ../Widgets/Object%20Table%20309374cae3fa8113b439c8bb096e0478.md",N/A,9,OL.0 Object List,Widget
Pagination,N/A,20 rows per page displayed.,Pagination lets a user navigate data as pages when the amount of data it too large to be shown at once.,"Wrap the pagination number after 9,999, using the current number-wrapping logic. (Example: 8.15M.)
Show the total result number, if it makes sense in context. This step is optional.

If it's less than 20 rows, don't need to display pagination.",N/A,10,OL.0 Object List,Widget
Sorted indicator,N/A,N/A,"This indicator means currently, this object table is sorted by this column","There must be one, and only one, column sorted in the object table",N/A,2,OL.2,
Select all checkbox,N/A,"By default, this check box will be unselected.","The select all check box allows the user to multi-select all the object items in the list. ","On clicking the check box all the checkboxes next to object items will be selected. 
Once all items have been selected, clicking again will unselect all items. 

If the user has selected one or more individual object select boxes then the select all check box will show a partially selected state. 
If the user clicks this state all the items that are currently selected will be unselected.",N/A,3,OL.0 Object List,Widget
Multi-lines input field,,N/A,"Allows for longer, multi-line responses, for things like label descriptions.","By default, all the text input fields are required. When a text input field is optional, show “(optional)” in placeholder.",The field outline turn to red color,3,IF.0 Text fields,
CTA bar,-,-,Contains the Done button.,-,-,3,MO.5 Information dialog,Surface Modal
Help Icon,,,Clicking on this will reveal the help menu. (This is powered by pendo),,,4,GL.0,
,,,,,,1,TO. Toasts,
CTA bar,-,-,"There are three buttons in the Wizard CTA bar: Previous, Cancel, Continue.","In the first step, the CTA bar includes Cancel and Continue buttons
In the middle steps, the CTA bar includes the Previous, Cancel, and Continue buttons.
In the last step, the CTA bar includes Previous, Cancel and complete task buttons",-,5,MO.3 Wizard dialog,Surface Modal
"Delete message ","The message should not be longer than 140 characters. ",,"The delete message displays an appropriate message to allow the user to understand the consequences of delete the object or configuration. ",,,1,"DL.0 Delete core pattern ",
Sort options,N/A,"By default the primary column in the object table will be sort in descending order. ","The user can select to sort a column with in ascending or descending order. ","Selecting a sorting option will refresh the object list with the selected sort order. 

A sort direction arrow will be shown next to the column name",N/A,3,OL.2 Object List Sort & Filter,Widget
Previous button,-,-,Go back to previous step,Save users edit content for them to re-edit or review later,-,7,MO.3 Wizard dialog,Surface Modal
ThoughtSpot logo ,,,Clicking on the logo will return the user to the Insight page.,,,1,GL.0,
Single object checkbox,N/A,"By default, the check box will be unselected.",This check box allows the user to select a row in the object list and apply an action to it.,"Clicking the check box selects the row, clicking again will unselect the row. 

Multiple checkboxes can be selected at the same time.

The check box can also be unselected if the user clicks the select all check box at the top left of the object list.

All selection are effected on the current page, if users change to other pages, it won’t count 2 pages selections. 

../Widgets/Object%20Table%20309374cae3fa8113b439c8bb096e0478.md../Widgets/Object%20Table%20309374cae3fa8113b439c8bb096e0478.md",N/A,5,OL.0 Object List,Widget
Month selection: Dropdown Input1,N/A,By default “On the” is selected.,"This input allows the user to pick the type of monthly frequency they want to set, IF the user has selected the “month” input from the primary frequency dropdown (2)","This input allows the user to pick the type of monthly frequency they want to set, IF the user has selected the “month” input from the primary frequency dropdown (2)
Values : “By date”, “On the”",N/A,5,FP.0 Frequency picker,
,,,,,,7,MU.0 Mute Alerts large,
Overlay,,-,#000000 60% opacity,Clicking outside the passive modal area will automatically close the modal.,,7,MO.1 Simple dialog,Surface Modal
Global actions,N/A,"In default state, Global action button is in unselected state, it is a secondary button (grey color).","Actions that influence the whole table list, like ""Create new"", ""import"" etc.",Global action could open a dialog box or a window etc. It depends on the use case,N/A,2,OL.0 Object List,Widget
Create new,Check field spec guidelines,"The text field is in the focus state, so that lets users enter text directly.","The create new action lets users can add a new object to the list.


https://www.notion.so/309374cae3fa812895d1deffcef72709?pvs=21","After clicking on the create new button, display input box inline. The cursor shows in the input box directly. Click check mark to complete the task. Click cross button to cancel the task.",The error message temporarily replaces the field label. Display error icon and error message in red color.,4,SOL.0 Single object list picker,
,,,,,,2,SEC.0 Section alerts,
,,,,,,5,TO. Toasts,
Chevron icon,N/A,Chevron’s arrow is pointing right (closed state).,The chevron icon indicates this row has a deeper level.,Clicking anywhere in its row will open the nested list. Making the chevron arrow face down.,N/A,6,ML.0 Multi-object list picker,Widget
Label,The title should be brief and clearly describe the dialogs’s task or purpose.,-,Use the label above the title set the context for the information in the dialog.,-,-,1,MO.3 Wizard dialog,Surface Modal
Single line input field,,N/A,Users can enter or edit a string of text.,"By default, all the text input fields are required. When a text input field is optional, show “(optional)” in placeholder.",The field outline turn to red color,2,IF.0 Text fields,
Tertiary CTA button,,-,Place the additional CTA on the far left of the dialog box. It's not the main task action.,-,,4,MO.1 Simple dialog,Surface Modal
Time period field,,Quarter(s),Dropdown field that will have multiple values to choose the time period,"Can have any of the below values
1.Second(s)s
2.Min
3.Hour(s)
4.Day
5.Week
6.Month
7.Quarter
8.Year(s)",NA - It will always have a value,3,RDF.0 Date and time picker,
Secondary Column Content types,N/A,N/A,The secondary columns display a variable amount of meta-information about specific object types in the primary column,"These columns will have have variable widths. They will evenly space between the Primary column and the action column. 

Use an en dash (---) to represent null or not applicable (N/A) values.",N/A,7,OL.0 Object List,Widget
Primary frequency Dropdown,N/A,By default the dropdown will display “Days”.,"This dropdown allows the user to select between hour, day, week and month options for overall frequency.","If the dropdown selection is “hour” the time dropdown (3) is removed from the widget. 
Values : “Hour”, “Day”, “Week”, “Month”",N/A,2,FP.0 Frequency picker,
